OBJECTID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
599,34013000100,Census Tract 1,938930,6653,+40.7824422,-74.1691008,10176279.6186218,13799.5749077939
600,34013000200,Census Tract 2,763973,22301,+40.7738296,-74.1751406,8461764.94293213,13735.6951230339
601,34013000300,Census Tract 3,327802,0,+40.7772697,-74.1782731,3527814.45733643,15300.6324262137
602,34013000400,Census Tract 4,178899,0,+40.7743272,-74.1828886,1925285.91644287,7267.04780044178
603,34013000500,Census Tract 5,207629,0,+40.7679859,-74.1836562,2234461.05307007,6939.40991561569
604,34013000600,Census Tract 6,327539,0,+40.7685977,-74.1872466,3524927.59423828,10469.3034771312
605,34013000700,Census Tract 7,653282,0,+40.7593348,-74.1919364,7030576.23284912,14320.1151675272
606,34013000800,Census Tract 8,382013,0,+40.7611259,-74.1853896,4111180.07925415,10425.5918229909
607,34013000900,Census Tract 9,328056,0,+40.7541922,-74.1877721,3530524.82260132,10179.4265194981
608,34013001000,Census Tract 10,529858,0,+40.7477293,-74.1824031,5702282.51266479,12503.3221373656
609,34013001100,Census Tract 11,569149,0,+40.7432323,-74.1824756,6125090.03189087,12149.6838544933
610,34013001300,Census Tract 13,223286,0,+40.7422664,-74.1943620,2402966.84326172,8046.09466921263
611,34013001400,Census Tract 14,332955,0,+40.7431140,-74.1985579,3583230.70263672,8184.99240528591
612,34013001500,Census Tract 15,237650,0,+40.7462516,-74.1918795,2557557.73910522,7701.95741333143
613,34013001600,Census Tract 16,261037,0,+40.7509480,-74.1928048,2809228.07394409,9478.13028859532
614,34013001700,Census Tract 17,286405,0,+40.7506022,-74.1976609,3082274.7956543,9173.16814527361
615,34013001800,Census Tract 18,694976,0,+40.7449098,-74.2038100,7479249.40985107,13975.0450096831
616,34013001900,Census Tract 19,709181,0,+40.7453469,-74.2135065,7632094.40023804,13890.2905300499
617,34013002000,Census Tract 20,406087,0,+40.7486312,-74.2319149,4370270.28640747,8593.44330241582
618,34013002100,Census Tract 21,438393,0,+40.7432015,-74.2346173,4717891.46115112,10574.9405380145
619,34013002202,Census Tract 22.02,433535,0,+40.7357252,-74.2400533,4665606.2819519,10393.1813318464
620,34013002203,Census Tract 22.03,145405,0,+40.7370639,-74.2488562,1564823.62075806,4963.97545453245
621,34013002204,Census Tract 22.04,368054,0,+40.7377548,-74.2445054,3960942.68319702,10108.5763822244
622,34013002300,Census Tract 23,498553,0,+40.7386751,-74.2321692,5365367.41873169,11760.3376037424
623,34013002400,Census Tract 24,386910,0,+40.7417880,-74.2261363,4163831.54742432,12473.7573197425
624,34013002500,Census Tract 25,373350,0,+40.7437187,-74.2209241,4017944.62121582,10149.2752993149
625,34013002600,Census Tract 26,206227,0,+40.7397820,-74.2086392,2219387.75286865,7045.77079811063
626,34013002800,Census Tract 28,214167,0,+40.7359373,-74.2008767,2304834.62210083,7624.36471217365
627,34013003100,Census Tract 31,267912,0,+40.7317801,-74.1923583,2883241.72012329,7006.13834092828
628,34013003500,Census Tract 35,253692,0,+40.7332973,-74.2116682,2730227.25311279,8995.00076778701
629,34013003700,Census Tract 37,329259,0,+40.7287222,-74.2078113,3543440.52386475,11708.1981147102
630,34013003800,Census Tract 38,574740,0,+40.7307815,-74.1997539,6185273.92932129,12151.9525946253
631,34013003900,Census Tract 39,308176,0,+40.7270499,-74.1945932,3316560.96310425,7308.1745249964
632,34013004100,Census Tract 41,347849,0,+40.7246108,-74.2059732,3743525.53027344,8238.74856267989
633,34013004200,Census Tract 42,290396,0,+40.7256766,-74.2134274,3125208.05041504,7275.12659210029
634,34013004300,Census Tract 43,377481,0,+40.7186439,-74.2182831,4062392.08273315,10842.9517308499
635,34013004400,Census Tract 44,221417,0,+40.7142560,-74.2167472,2382863.04864502,6214.08681437651
636,34013004500,Census Tract 45,489028,0,+40.7108933,-74.2230091,5262843.89916992,9666.37976466511
637,34013004600,Census Tract 46,394162,0,+40.7098469,-74.2157763,4241929.79559326,10524.5124481363
638,34013004700,Census Tract 47,567566,0,+40.7053578,-74.2124364,6108086.41134644,9853.5543122008
639,34013004801,Census Tract 48.01,168089,0,+40.7108540,-74.2020184,1808952.24743652,6799.12427636417
640,34013004802,Census Tract 48.02,3074477,0,+40.6998157,-74.2008175,33087100.5696411,27675.2977061286
641,34013004900,Census Tract 49,394145,0,+40.7092563,-74.2070889,4241722.28948975,8321.52445732775
642,34013005000,Census Tract 50,797751,0,+40.7149833,-74.1977885,8585314.62124634,16220.2351964483
643,34013005100,Census Tract 51,308433,0,+40.7145640,-74.2068234,3319301.05822754,7210.29958264157
644,34013005200,Census Tract 52,268640,0,+40.7191637,-74.2131884,2891067.36560059,8030.81819407354
645,34013005300,Census Tract 53,320466,0,+40.7192041,-74.2091284,3448790.07955933,10011.4389010135
646,34013005400,Census Tract 54,351901,0,+40.7200828,-74.2032278,3787109.37161255,10903.4778186722
647,34013005700,Census Tract 57,864418,0,+40.7182857,-74.1846161,9302746.67672729,20089.6697855455
648,34013006200,Census Tract 62,235825,0,+40.7296971,-74.1862308,2537919.37103271,6654.83199261921
649,34013006400,Census Tract 64,309843,0,+40.7375916,-74.1840038,3334507.71722412,7719.48313216412
650,34013006600,Census Tract 66,161941,0,+40.7270642,-74.1871371,1742803.40090942,5957.59453779337
651,34013006700,Census Tract 67,326878,0,+40.7253517,-74.1800800,3517836.44708252,11487.663168817
652,34013006800,Census Tract 68,1171730,0,+40.7191013,-74.1737618,12610058.9842834,17024.3489846167
653,34013006900,Census Tract 69,360629,0,+40.7236411,-74.1663917,3881032.06268311,11219.3508862737
654,34013007000,Census Tract 70,397128,0,+40.7223247,-74.1612616,4273850.09762573,11369.4532333143
655,34013007100,Census Tract 71,385859,0,+40.7205050,-74.1564595,4152578.78305054,10141.2599020212
656,34013007200,Census Tract 72,203449,0,+40.7240163,-74.1537615,2189512.61260986,7125.97245632797
657,34013007300,Census Tract 73,411830,0,+40.7274681,-74.1500122,4432097.66033936,9235.88675374903
658,34013007400,Census Tract 74,3708900,665362,+40.7180744,-74.1338723,47075641.991394,41544.2062334535
659,34013007501,Census Tract 75.01,1962291,352066,+40.7361742,-74.1332933,24907049.2644958,27049.0493823313
660,34013007502,Census Tract 75.02,1690702,82608,+40.7302930,-74.1279553,19084314.3981018,22986.4864454082
661,34013007600,Census Tract 76,194441,0,+40.7300384,-74.1553920,2092563.57388306,5667.66308966445
662,34013007700,Census Tract 77,198946,0,+40.7282826,-74.1598126,2141057.36233521,6419.21626177698
663,34013007800,Census Tract 78,197685,0,+40.7272878,-74.1670688,2127503.3678894,6231.63236810778
664,34013007900,Census Tract 79,468606,29821,+40.7325850,-74.1620882,5364004.84054565,11188.861610616
665,34013008000,Census Tract 80,847977,16698,+40.7331957,-74.1685287,9305535.44192505,14547.211339439
666,34013008100,Census Tract 81,806563,0,+40.7341337,-74.1767784,8680154.28213501,13105.1400363756
667,34013008200,Census Tract 82,429045,0,+40.7405620,-74.1885922,4617338.91674805,11328.0808883055
668,34013008700,Census Tract 87,511847,17246,+40.7556026,-74.1695751,5694074.50509644,11809.063744674
669,34013008800,Census Tract 88,154461,0,+40.7528574,-74.1730126,1662305.1824646,5772.31119211537
670,34013008900,Census Tract 89,137212,0,+40.7551992,-74.1755375,1476664.32574463,6054.50768948529
671,34013009000,Census Tract 90,395369,58937,+40.7551713,-74.1807919,4889197.38366699,10701.0638194826
672,34013009100,Census Tract 91,442720,39927,+40.7610050,-74.1798700,5194201.85995483,11121.6703063305
673,34013009200,Census Tract 92,370972,34248,+40.7594232,-74.1674201,4360952.55734253,9716.26242961197
674,34013009300,Census Tract 93,552903,0,+40.7658745,-74.1658556,5950316.1918335,14407.6363003133
675,34013009400,Census Tract 94,622913,0,+40.7665025,-74.1729955,6703719.47494507,12284.3429067057
676,34013009500,Census Tract 95,603392,0,+40.7741049,-74.1674883,6493657.17993164,14954.8889680116
677,34013009600,Census Tract 96,1089630,139142,+40.7728435,-74.1584934,13223953.5135498,22198.5451898755
678,34013009700,Census Tract 97,410689,1472,+40.7772693,-74.1600205,4435653.5171814,11340.2821611261
802,34013022700,Census Tract 227,499226,0,+40.7226675,-74.1879810,5372644.14559937,14629.4205466454
803,34013022800,Census Tract 228,316630,0,+40.7333850,-74.1842883,3407572.50610352,7819.93265457659
804,34013022900,Census Tract 229,1193764,47234,+40.7451733,-74.1717157,13355507.9672546,21682.2997352493
805,34013023000,Census Tract 230,367018,0,+40.7366459,-74.1938612,3949808.68371582,9785.2085061973
806,34013023100,Census Tract 231,478035,0,+40.7349696,-74.2058432,5144557.96594238,10138.9861168907
807,34013023200,Census Tract 232,524193,0,+40.7187885,-74.1936395,5641331.72555542,16022.5120426222
808,34013980100,Census Tract 9801,1460681,2569,+40.7139378,-74.1664366,15747369.5029907,20511.6657923002
809,34013980200,Census Tract 9802,15536164,2993500,+40.6956552,-74.1568191,199415251.504822,69035.8891302282
